day,points_gas_redeemable,points_baseline
0,89.500000,96.500000
1,80.582500,93.322500
2,73.018038,90.443313
3,66.610422,87.840064
4,61.191911,85.492059
5,56.619084,83.380155
6,52.769317,81.486643
7,49.537766,79.795145
8,46.834790,78.290509
9,44.583745,76.958721
10,42.719102,75.786817
11,41.184832,74.762806
12,39.933032,73.875595
13,38.922742,73.114926
14,38.118944,72.471306
15,37.491698,71.935958
16,37.015401,71.500761
17,36.668168,71.158204
18,36.431284,70.901339
19,36.288748,70.723738
20,36.226879,70.619458
21,36.233982,70.582999
22,36.300054,70.609274
23,36.416547,70.693578
24,36.576147,70.831560
25,36.772606,71.019193
26,37.000578,71.252753
27,37.255494,71.528797
28,37.533448,71.844137
29,37.831098,72.195827
30,38.145589,72.581140
31,38.474478,72.997554
32,38.815679,73.442738
33,39.167405,73.914532
34,39.528132,74.410943
35,39.896553,74.930122
36,40.271552,75.470363
37,40.652177,76.030085
38,41.037612,76.607829
39,41.427158,77.202242
40,41.820220,77.812074
41,42.216288,78.436168
42,42.614926,79.073456
43,43.015762,79.722946
44,43.418477,80.383725
45,43.822797,81.054946
46,44.228492,81.735825
47,44.635360,82.425638
48,45.043233,83.123715
49,45.451964,83.829437
50,45.861430,84.542229
51,46.271522,85.261562
52,46.682152,85.986945
53,47.093240,86.717924
54,47.504720,87.454080
55,47.916535,88.195024
56,48.328638,88.940397
57,48.740985,89.689867
58,49.153542,90.443127
59,49.566279,91.199892
60,49.979168,91.959901
