ladder,horizon,metric,mean,std
T1 snack only,3mo,part,0.4662,0.0621
T1 snack only,3mo,active,0.5846,0.0920
T1 snack only,3mo,frozen,0.1836,0.0426
T1 snack only,3mo,departed,0.0813,0.0382
T1 snack only,3mo,sustain,0.0648,0.1087
T1 snack only,3mo,reengaged_pm,21.3833,1.1169
T1 snack only,6mo,part,0.5489,0.0631
T1 snack only,6mo,active,0.6471,0.0603
T1 snack only,6mo,frozen,0.1166,0.0271
T1 snack only,6mo,departed,0.1627,0.0309
T1 snack only,6mo,sustain,0.2866,0.1145
T1 snack only,6mo,reengaged_pm,12.2667,0.4813
T1 snack only,1yr,part,0.4457,0.0526
T1 snack only,1yr,active,0.5907,0.0659
T1 snack only,1yr,frozen,0.1255,0.0384
T1 snack only,1yr,departed,0.3093,0.0447
T1 snack only,1yr,sustain,0.5335,0.0672
T1 snack only,1yr,reengaged_pm,6.7462,0.2806
T1 snack only,3yr,part,0.2649,0.0400
T1 snack only,3yr,active,0.5398,0.0777
T1 snack only,3yr,frozen,0.1222,0.0550
T1 snack only,3yr,departed,0.5247,0.0698
T1 snack only,3yr,sustain,0.6406,0.0446
T1 snack only,3yr,reengaged_pm,3.7115,0.1549
T2 +merch,3mo,part,0.4662,0.0621
T2 +merch,3mo,active,0.5846,0.0920
T2 +merch,3mo,frozen,0.1836,0.0426
T2 +merch,3mo,departed,0.0813,0.0382
T2 +merch,3mo,sustain,0.0748,0.1260
T2 +merch,3mo,reengaged_pm,21.3833,1.1169
T2 +merch,6mo,part,0.5494,0.0630
T2 +merch,6mo,active,0.6495,0.0602
T2 +merch,6mo,frozen,0.1166,0.0271
T2 +merch,6mo,departed,0.1627,0.0309
T2 +merch,6mo,sustain,0.3331,0.1261
T2 +merch,6mo,reengaged_pm,12.2667,0.4813
T2 +merch,1yr,part,0.4463,0.0527
T2 +merch,1yr,active,0.5917,0.0667
T2 +merch,1yr,frozen,0.1255,0.0384
T2 +merch,1yr,departed,0.3093,0.0447
T2 +merch,1yr,sustain,0.6068,0.0682
T2 +merch,1yr,reengaged_pm,6.7462,0.2806
T2 +merch,3yr,part,0.2649,0.0400
T2 +merch,3yr,active,0.5398,0.0777
T2 +merch,3yr,frozen,0.1222,0.0550
T2 +merch,3yr,departed,0.5247,0.0698
T2 +merch,3yr,sustain,0.7324,0.0375
T2 +merch,3yr,reengaged_pm,3.7115,0.1549
T3 +venue,3mo,part,0.4666,0.0610
T3 +venue,3mo,active,0.5869,0.0917
T3 +venue,3mo,frozen,0.1857,0.0437
T3 +venue,3mo,departed,0.0813,0.0382
T3 +venue,3mo,sustain,0.1103,0.1638
T3 +venue,3mo,reengaged_pm,21.3667,1.1200
T3 +venue,6mo,part,0.5502,0.0642
T3 +venue,6mo,active,0.6482,0.0660
T3 +venue,6mo,frozen,0.1230,0.0242
T3 +venue,6mo,departed,0.1640,0.0292
T3 +venue,6mo,sustain,0.4597,0.1239
T3 +venue,6mo,reengaged_pm,12.2250,0.5225
T3 +venue,1yr,part,0.4512,0.0581
T3 +venue,1yr,active,0.6024,0.0697
T3 +venue,1yr,frozen,0.1263,0.0379
T3 +venue,1yr,departed,0.3087,0.0459
T3 +venue,1yr,sustain,0.7347,0.0587
T3 +venue,1yr,reengaged_pm,6.7615,0.3105
T3 +venue,3yr,part,0.2685,0.0433
T3 +venue,3yr,active,0.5462,0.0802
T3 +venue,3yr,frozen,0.1327,0.0518
T3 +venue,3yr,departed,0.5273,0.0557
T3 +venue,3yr,sustain,0.8410,0.0262
T3 +venue,3yr,reengaged_pm,3.6744,0.1513
T4 +conference,3mo,part,0.4676,0.0618
T4 +conference,3mo,active,0.5915,0.0919
T4 +conference,3mo,frozen,0.1835,0.0426
T4 +conference,3mo,departed,0.0807,0.0385
T4 +conference,3mo,sustain,0.1303,0.2082
T4 +conference,3mo,reengaged_pm,21.4333,1.1358
T4 +conference,6mo,part,0.5447,0.0594
T4 +conference,6mo,active,0.6325,0.0658
T4 +conference,6mo,frozen,0.1245,0.0268
T4 +conference,6mo,departed,0.1707,0.0331
T4 +conference,6mo,sustain,0.4994,0.1412
T4 +conference,6mo,reengaged_pm,12.2500,0.4758
T4 +conference,1yr,part,0.4583,0.0679
T4 +conference,1yr,active,0.6100,0.0919
T4 +conference,1yr,frozen,0.1182,0.0512
T4 +conference,1yr,departed,0.3053,0.0578
T4 +conference,1yr,sustain,0.7738,0.0593
T4 +conference,1yr,reengaged_pm,6.8077,0.3101
T4 +conference,3yr,part,0.2620,0.0410
T4 +conference,3yr,active,0.5360,0.0838
T4 +conference,3yr,frozen,0.1587,0.0517
T4 +conference,3yr,departed,0.5140,0.0677
T4 +conference,3yr,sustain,0.8739,0.0284
T4 +conference,3yr,reengaged_pm,3.6269,0.1594
