Run ID,Group,Gas Used (wei),Gas Price (gwei),L1 Fee (eth),Total Cost ($),Time (s),Status
1,Traditional,21000,0.1,0.0001,0.15,12,Success
2,Traditional,21000,0.1,0.0001,0.15,12,Success
3,Traditional,21000,0.1,0.0001,0.15,12,Success
4,Traditional,21000,0.1,0.0001,0.15,12,Success
5,Traditional,21000,0.1,0.0001,0.15,12,Success
6,Traditional,21000,0.1,0.0001,0.15,12,Success
7,Traditional,21000,0.1,0.0001,0.15,12,Success
8,Traditional,21000,0.1,0.0001,0.15,12,Success
9,Traditional,21000,0.1,0.0001,0.15,12,Success
10,Traditional,21000,0.1,0.0001,0.15,12,Success
11,Traditional,21000,0.1,0.0001,0.15,12,Success
12,Traditional,21000,0.1,0.0001,0.15,12,Success
13,Traditional,21000,0.1,0.0001,0.15,12,Success
14,Traditional,21000,0.1,0.0001,0.15,12,Success
15,Traditional,21000,0.1,0.0001,0.15,12,Success
16,Traditional,21000,0.1,0.0001,0.15,12,Success
17,Traditional,21000,0.1,0.0001,0.15,12,Success
18,Traditional,21000,0.1,0.0001,0.15,12,Success
19,Traditional,21000,0.1,0.0001,0.15,12,Success
20,Traditional,21000,0.1,0.0001,0.15,12,Success
21,Traditional,21000,0.1,0.0001,0.15,12,Success
22,Traditional,21000,0.1,0.0001,0.15,12,Success
23,Traditional,21000,0.1,0.0001,0.15,12,Success
24,Traditional,21000,0.1,0.0001,0.15,12,Success
25,Traditional,21000,0.1,0.0001,0.15,12,Success
26,Traditional,21000,0.1,0.0001,0.15,12,Success
27,Traditional,21000,0.1,0.0001,0.15,12,Success
28,Traditional,21000,0.1,0.0001,0.15,12,Success
29,Traditional,21000,0.1,0.0001,0.15,12,Success
30,Traditional,21000,0.1,0.0001,0.15,12,Success
